108;144;204;112;145;204;Si
35;150;150;44;148;148;Si
148;116;179;145;123;171;No
33;148;110;41;148;112;No
76;118;16;77;118;21;Si
164;83;123;159;86;121;No
157;69;29;160;74;33;Si
35;150;150;40;149;147;Si
174;89;96;175;92;94;Si
70;159;201;70;156;200;Si
174;89;96;175;96;99;Si
70;159;201;70;159;199;Si
164;83;123;167;88;127;Si
174;89;96;174;95;97;Si
174;89;96;177;96;99;Si
33;148;110;45;149;115;Si
164;83;123;159;86;121;Si
33;148;110;51;151;115;Si
70;159;201;73;158;202;Si
35;150;150;33;148;147;Si
129;94;14;126;93;16;Si
33;148;110;48;151;112;Si
174;89;96;173;92;95;Si
108;144;204;114;145;207;Si
148;116;179;144;118;169;Si
35;150;150;44;148;148;Si
33;148;110;48;149;112;Si
164;83;123;165;89;126;Si
76;118;16;80;121;23;Si
129;94;14;133;100;18;Si
108;144;204;112;145;204;Si
35;150;150;41;148;148;Si
35;150;150;41;147;144;Si
76;118;16;78;121;19;Si
174;89;96;177;93;100;Si
129;94;14;125;95;16;Si
157;69;29;154;71;32;Si
76;118;16;82;119;23;Si
157;69;29;154;70;32;Si
157;69;29;162;75;34;Si
70;159;201;70;158;208;Si
33;148;110;34;150;111;Si
174;89;96;171;93;97;Si
157;69;29;160;74;33;Si
129;94;14;129;95;14;Si
108;144;204;114;147;203;Si
108;144;204;108;143;197;Si
35;150;150;41;147;144;Si
157;69;29;158;74;33;Si
76;118;16;75;119;21;Si
108;144;204;112;143;196;Si
164;83;123;163;88;122;Si
148;116;179;147;117;173;Si
174;89;96;174;95;97;Si
157;69;29;162;75;34;Si
108;144;204;112;145;204;Si
164;83;123;163;86;122;Si
129;94;14;126;93;16;Si
157;69;29;160;73;32;Si
164;83;123;159;86;122;Si
164;83;123;163;86;118;Si
164;83;123;166;90;126;Si
35;150;150;41;148;148;Si
129;94;14;127;92;19;Si
174;89;96;177;93;100;Si
70;159;201;77;160;192;Si
35;150;150;48;151;148;Si
164;83;123;166;88;127;Si
157;69;29;159;74;34;Si
70;159;201;80;160;200;Si
148;116;179;145;123;171;Si
157;69;29;160;73;32;Si
157;69;29;158;71;30;Si
164;83;123;166;84;125;Si
148;116;179;149;121;181;Si
157;69;29;159;74;34;Si
35;150;150;36;151;154;Si
164;83;123;163;88;122;Si
70;159;201;69;159;193;Si
108;144;204;118;147;208;Si
129;94;14;129;92;18;Si
148;116;179;143;118;167;Si
35;150;150;47;151;148;Si
108;144;204;112;145;202;Si
129;94;14;129;95;14;Si
33;148;110;34;150;111;Si
76;118;16;81;121;21;Si
108;144;204;108;140;196;Si
148;116;179;144;118;167;Si
157;69;29;158;71;30;Si
174;89;96;171;93;97;Si
70;159;201;73;158;202;Si
76;118;16;80;121;23;Si
35;150;150;44;148;148;Si
108;144;204;114;147;203;Si
157;69;29;154;70;32;Si
157;69;29;162;74;34;Si
129;94;14;129;96;19;Si
70;159;201;74;162;200;Si
108;144;204;108;143;197;Si
35;150;150;44;148;148;Si
76;118;16;77;118;21;Si
108;144;204;112;145;202;Si
33;148;110;44;145;107;Si
148;116;179;147;117;178;Si
164;83;123;163;86;122;Si
157;69;29;162;74;34;Si
157;69;29;158;74;33;Si
174;89;96;175;96;100;Si
148;116;179;144;118;167;Si
174;89;96;171;90;95;Si
76;118;16;78;119;21;Si
164;83;123;166;90;126;Si
33;148;110;48;149;112;Si
35;150;150;41;145;144;Si
